season,team,plays_per_game,off_ppa,off_success,def_ppa_rush,def_ppa_pass
2026,Miami,66.5,0.5496529263376232,0.4,0.15,0.25
2026,Miami (OH),69.0,0.29675957994952906,0.4,0.15,0.25
2026,Michigan,60.6,0.12483992636426236,0.4,0.15,0.25
2026,Michigan State,84.0,0.1614971434779877,0.4,0.15,0.25
2026,Middle Tennessee,75.8,0.2662351423868576,0.4,0.15,0.25
2026,Minnesota,84.0,0.12483818583593481,0.4,0.15,0.25
2026,Mississippi State,80.7,0.5444014212608463,0.4,0.15,0.25
2026,Missouri,70.6,0.2869208699326553,0.4,0.15,0.25
2026,Missouri State,62.6,0.16323854389981332,0.4,0.15,0.25
2026,Navy,77.7,0.3969574215721253,0.4,0.15,0.25
2026,NC State,61.0,0.38103113905949676,0.4,0.15,0.25
2026,Nebraska,80.0,0.5370186678418228,0.4,0.15,0.25
2026,Nevada,68.3,0.20508574479607886,0.4,0.15,0.25
2026,New Mexico,64.0,0.23987922265313136,0.4,0.15,0.25
2026,New Mexico State,70.9,0.2284752266518537,0.4,0.15,0.25
2026,North Carolina,71.4,0.2983323082922951,0.4,0.15,0.25
2026,North Dakota State,79.6,0.20026095178318812,0.4,0.15,0.25
2026,Northern Illinois,58.0,-0.19274538318382164,0.4,0.15,0.25
2026,North Texas,75.3,0.23983224045344106,0.4,0.15,0.25
2026,Northwestern,58.0,0.4796492784465596,0.4,0.15,0.25
2026,Notre Dame,78.0,0.38966179616381863,0.4,0.15,0.25
2026,Ohio,79.4,0.07647560179281021,0.4,0.15,0.25
2026,Ohio State,71.5,0.4274006011470929,0.4,0.15,0.25
2026,Oklahoma,67.6,0.18880342493239644,0.4,0.15,0.25
2026,Oklahoma State,77.8,-0.01778876846089959,0.4,0.15,0.25
2026,Old Dominion,58.0,0.17299020777460686,0.4,0.15,0.25
2026,Ole Miss,73.0,0.33111734751235666,0.4,0.15,0.25
2026,Oregon,58.0,0.21651352663270634,0.4,0.15,0.25
2026,Oregon State,66.9,0.2318675622938038,0.4,0.15,0.25
2026,Penn State,78.9,0.3223966217450613,0.4,0.15,0.25
2026,Pittsburgh,74.5,0.21812119024677465,0.4,0.15,0.25
2026,Purdue,84.0,0.32983049524672703,0.4,0.15,0.25
2026,Rice,73.7,0.07122847223438043,0.4,0.15,0.25
2026,Rutgers,68.3,0.13089188541197927,0.4,0.15,0.25
2026,Sacramento State,62.5,0.08117470641472177,0.4,0.15,0.25
2026,Sam Houston,70.4,0.14478120811596742,0.4,0.15,0.25
2026,San Diego State,63.1,0.07693775175950511,0.4,0.15,0.25
2026,San José State,69.1,0.203967017726322,0.4,0.15,0.25
2026,SMU,61.0,0.4696883528794275,0.4,0.15,0.25
2026,South Alabama,84.0,0.24549775095716242,0.4,0.15,0.25
2026,South Carolina,77.5,0.4481573794422611,0.4,0.15,0.25
2026,Southern Miss,75.7,0.1742479506475857,0.4,0.15,0.25
2026,South Florida,72.0,0.140587628627423,0.4,0.15,0.25
2026,Stanford,69.5,0.18083816062671262,0.4,0.15,0.25
2026,Syracuse,76.2,0.1322321787051773,0.4,0.15,0.25
2026,TCU,71.5,0.2865423115543243,0.4,0.15,0.25
2026,Temple,76.4,0.17300020135380076,0.4,0.15,0.25
2026,Tennessee,71.5,0.4098935058826696,0.4,0.15,0.25
2026,Texas,84.0,0.3037727731128151,0.4,0.15,0.25
2026,Texas A&M,72.5,0.24985068589950807,0.4,0.15,0.25
2026,Texas State,79.8,0.16583814319948875,0.4,0.15,0.25
2026,Texas Tech,72.5,0.23687084131486535,0.4,0.15,0.25
2026,Toledo,61.6,0.3250046177849517,0.4,0.15,0.25
2026,Troy,61.8,0.2253023077949107,0.4,0.15,0.25
2026,Tulane,58.4,0.199806554070608,0.4,0.15,0.25
2026,Tulsa,68.9,0.09938800510220228,0.4,0.15,0.25
2026,UAB,84.0,0.1720910690190326,0.4,0.15,0.25
2026,UCF,58.0,0.25743690365675104,0.4,0.15,0.25
2026,UCLA,58.0,0.26293085606231364,0.4,0.15,0.25
2026,UConn,61.0,0.3612580789100788,0.4,0.15,0.25
2026,UL Monroe,69.9,-0.05659288465344167,0.4,0.15,0.25
2026,UNLV,70.7,0.030130791375746258,0.4,0.15,0.25
2026,USC,84.0,0.3730071933973523,0.4,0.15,0.25
2026,Utah,70.0,0.4336365985170653,0.4,0.15,0.25
2026,Utah State,73.5,0.051825361799980436,0.4,0.15,0.25
2026,UTEP,58.0,0.02348707331145269,0.4,0.15,0.25
2026,UTSA,69.9,0.3615976027407886,0.4,0.15,0.25
2026,Vanderbilt,73.6,0.11596478241752767,0.4,0.15,0.25
2026,Virginia,67.5,0.36588580348443167,0.4,0.15,0.25
2026,Virginia Tech,78.2,0.35743609640371454,0.4,0.15,0.25
2026,Wake Forest,82.2,0.41684734285405456,0.4,0.15,0.25
